Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,x_position,y_position,z_position,unit_distance_from_origin,unit_id
34390,0,62565,0,29192,0,35574,0,0,21756,0,0,28000,38800,220,204750,0,214856,0,0,140141,0,0,274516,0,161460,0,0,0,78936,0,0,92082,110664,0,0,0,0,0,0,0,0,4.1413405809049735,-1.678615078264393,1.0755656460918708,4,11
0,37944,0,0,0,28036,0,0,0,0,94149,0,0,0,0,39990,0,0,0,98472,0,8528,151438,43095,0,61750,0,0,0,13150,0,0,0,0,0,70161,0,0,165718,0,0,0,-7.253448556750804,-2.840932816315237,1.0755656460918708,7,19
0,0,736,20313,1075,0,0,0,0,0,0,0,3024,5,0,0,0,7684,0,0,0,0,0,0,0,3149,0,0,5850,1855,0,0,0,1792,0,0,0,0,0,0,0,0,5.789969500323538,-9.15470894854818,0.31477579489543644,10,4
0,0,0,16166,650,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,672,0,0,0,0,3128,0,0,10266,0,0,0,0,759,0,0,0,0,0,0,0,0,5.853516242893765,-9.315788097203416,0.31475988082349,11,4
0,0,12367,18616,0,0,0,0,0,0,0,0,5208,0,0,0,0,8700,0,0,495,0,0,0,0,899,0,0,12480,984,0,0,0,2006,0,0,0,10164,0,0,0,0,5.3106245245870936,-8.466672660158835,0.3147811989273273,9,4
0,0,11890,17304,0,0,7308,0,0,0,0,0,3233,736,0,16,0,8880,0,0,3763,0,0,0,0,3640,0,0,9280,1376,0,0,0,0,0,0,0,5406,0,0,0,0,4.571723902020399,-7.7489850223975125,0.3147824513394964,8,4
0,0,11398,16583,667,0,7056,0,0,0,0,0,2160,837,0,7920,0,6125,0,0,644,0,0,3838,0,672,0,0,17982,1551,0,0,0,0,0,0,0,0,0,0,0,0,3.8161065740738236,-7.024911892116123,0.3147848577316603,7,4
0,0,11205,16564,403,0,6930,0,0,0,0,0,4503,1054,0,5346,0,0,0,0,0,0,0,59534,0,120,0,0,20976,1800,0,0,0,27,0,0,0,0,0,0,0,0,3.056724244793774,-6.284328531539661,0.314782951112657,6,4
0,0,10873,15554,1053,0,2520,0,0,0,11529,0,2856,429,0,2184,0,0,0,0,0,0,0,32600,0,252,0,0,26108,1802,0,0,3876,4620,0,0,0,0,0,0,0,0,2.29456984394145,-5.53783607616484,0.314790775454669,5,4
0,0,10824,17500,1360,0,816,0,0,0,14541,0,2132,1353,0,0,0,8772,0,0,0,0,0,19950,0,4424,0,0,0,190,0,0,7055,290,0,0,0,0,0,0,0,0,1.4800982739081672,-4.768100938148381,0.3147848522971632,4,4
0,0,11371,10700,0,0,4343,0,0,0,15755,0,4756,1978,0,5670,0,0,0,0,0,0,0,14896,0,5060,0,0,0,2880,0,0,8740,0,0,0,0,0,0,0,0,0,0.6323175272583819,-3.942519177401026,0.31478223349560913,3,4
1935,0,12035,0,570,2345,6363,0,0,0,9964,0,5487,2400,0,6200,0,0,0,0,0,0,0,2356,0,3400,0,0,0,3577,0,0,9555,0,0,0,0,0,0,0,0,0,-0.3941475361728918,-2.9694333516813094,0.3147942076735145,2,4
2209,0,9796,0,16,0,3990,0,0,0,3116,0,4661,2544,0,6615,0,0,0,0,0,0,0,8932,0,350,0,0,0,7055,0,0,18810,0,0,0,0,0,0,0,0,0,-1.2880192819969865,-1.530017104275826,0.31479799071344766,1,4
0,0,0,0,4300,0,957,19278,0,17901,0,8927,0,0,4941,0,17556,0,0,0,0,0,0,0,6045,0,11433,0,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,4.403814538277214,11.169703847462355,0.31478179186846034,12,4
0,0,0,0,4472,0,812,18618,0,21924,0,8541,0,0,0,0,7560,0,0,0,0,0,0,0,4300,0,9090,0,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,4.63509471677804,12.145756182826304,0.31896693960269035,13,4
0,0,0,0,490,0,0,16171,0,26852,0,7881,0,0,1008,0,11374,0,0,0,0,0,0,0,5429,0,6177,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,4.885726318230439,13.126355092956072,0.31478685133596646,14,4
0,0,0,0,5656,0,0,14162,5415,29120,0,5460,0,0,0,0,9546,0,0,0,0,0,0,0,0,0,5621,0,0,0,0,0,0,0,3172,0,0,0,0,0,25092,0,5.1428258914922855,14.099220754264302,0.3147841928379901,15,4
0,0,756,0,0,0,0,12420,5194,41340,0,2160,133,0,0,0,0,0,0,0,0,0,0,0,0,0,4690,0,0,0,0,0,0,0,3150,0,0,0,0,0,15640,0,5.385354141265635,15.078510524563423,0.3147816003877021,16,4
0,0,4416,0,2394,0,0,0,0,0,5400,0,1802,3195,0,7917,0,0,0,0,0,0,0,899,0,0,0,0,0,6868,0,0,8160,0,0,0,0,0,0,0,0,0,0.9753206706216706,-0.19412738068349294,0.3147885136936246,0,4
6302,1161,0,0,6840,4836,9212,0,0,0,8190,0,8602,13542,6600,9204,0,0,0,66056,0,0,0,8736,0,9443,0,0,0,60726,0,0,56133,0,0,23790,0,0,46330,0,0,0,-3.2483123460848375,1.5282985998303233,0.12889221748324095,3,26
1824,1950,0,0,2432,4134,7600,0,0,0,4752,0,5364,7171,7134,0,0,0,0,44440,0,0,0,4704,0,1260,0,0,0,40610,0,0,112996,0,0,18660,0,0,41912,0,0,0,-3.3559110365127567,2.191914698688971,0.1288923154533591,4,26
6380,7035,0,0,880,3718,6156,0,0,0,3268,0,783,12056,9204,1188,0,0,0,44892,0,0,0,2400,0,0,0,0,0,7059,0,0,55352,0,0,17629,0,0,27839,0,0,0,-3.938747550309912,3.088398887468611,0.12889240897761461,5,26
9180,6392,0,0,120,4266,2112,0,0,0,3510,0,0,17407,7470,0,0,0,0,33615,0,0,0,0,0,0,0,0,0,0,0,0,2867,0,0,17287,0,0,12780,0,0,0,-4.490544482302906,3.984016917225147,0.12889406422896899,6,26
10560,7092,0,0,0,3973,0,0,0,0,2700,0,0,22098,5850,0,0,0,0,17280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,18496,0,0,16974,0,0,0,-5.076625852926422,4.841300237671961,0.12889258660253672,7,26
14400,7474,0,0,0,4611,0,0,0,0,1003,66,0,32185,726,0,0,0,0,14287,0,0,0,972,0,0,0,0,0,0,3850,4368,0,0,2257,18720,0,0,6440,0,0,0,-5.631740285950798,5.695179703324213,0.12889254607629858,8,26
20862,6327,0,0,0,3828,0,0,0,0,1656,6300,0,45568,200,0,0,0,0,7242,0,0,0,64,0,0,0,0,0,0,32096,6804,0,0,6102,15744,0,0,10540,0,0,0,-6.1705620549938525,6.55700214839856,0.12889272609939006,9,26
32490,4216,0,0,0,3045,0,0,0,0,672,4959,0,12456,0,0,0,0,0,10535,0,0,1704,805,0,0,0,0,0,0,26166,4845,0,0,6468,17019,0,0,10045,0,0,0,-6.9655339329946395,7.176266608910568,0.12890319378886464,10,26
1378,0,4914,0,3570,6574,4266,0,0,0,5445,0,3900,4774,10640,9702,0,0,0,0,0,0,0,846,4340,44480,0,0,0,47585,0,0,30685,0,30084,0,0,0,0,0,0,0,-0.31015424560538446,2.976660780508176,0.12889197466169167,2,26
1820,0,8775,0,3038,5472,3168,0,0,0,1539,0,3503,330,25032,21660,0,0,0,0,0,0,0,1404,2840,39508,0,0,0,38989,0,0,27368,0,2745,0,0,0,0,0,0,0,-0.0035500929298381,1.9898428602274474,0.1288918964422223,1,26
4025,0,9588,0,2576,4998,5915,0,0,0,4356,0,4680,5782,30847,20235,0,0,0,0,0,0,0,2500,0,29682,0,0,0,27300,0,0,24138,0,0,0,0,0,0,0,0,0,0.3228674300006617,0.9392248230150959,0.12889189484983055,0,26
0,0,6095,29216,658,0,0,0,0,0,0,0,5580,0,0,0,0,13862,0,0,1564,0,0,0,0,6194,0,0,21384,459,0,0,0,3024,0,0,0,0,0,0,0,0,6.259217336433743,-9.05861089268034,0.12889125809738206,11,26
150,0,0,9408,598,0,0,0,0,286,0,0,2100,378,0,0,0,11804,0,0,3104,0,0,0,0,5688,0,0,18750,1431,0,0,0,2574,0,0,0,0,0,0,0,0,6.878875193840505,-9.845130642871695,0.12889107624920618,12,26
77,0,0,0,585,0,0,0,0,476,0,0,0,301,0,0,0,7395,0,0,2790,0,0,0,0,4025,0,0,16353,760,0,0,0,2325,0,0,0,0,0,0,0,0,7.498499998622245,-10.631662382413449,0.12889112707937012,13,26
99,0,0,0,110,0,0,0,0,156,0,0,0,1157,0,0,0,3395,0,0,1288,0,0,0,0,2352,0,0,13650,2247,0,0,0,2071,0,0,0,0,0,0,0,0,7.879259917809549,-11.576522953107785,0.12890163874210844,14,26
9420,2688,0,0,0,6345,49476,0,0,0,25198,0,43318,4370,0,8910,0,0,0,0,0,58636,40044,15180,0,13065,0,107428,0,36936,0,0,0,0,0,19090,0,0,5285,0,0,0,-4.558960895238172,-3.6691404245308608,0.9008771133457913,5,23
12876,0,0,9062,0,0,40768,0,0,0,40414,0,45353,13588,0,14112,0,0,0,0,0,60676,0,24288,0,14400,0,88150,0,29640,0,0,0,0,0,0,0,0,0,0,0,0,-3.7136442328542785,-4.722076610228839,0.8879138083932894,6,23
8478,0,176410,35620,0,42,72182,0,0,0,66454,0,50127,11316,0,0,0,0,0,0,0,52984,0,42840,0,13425,0,136160,0,20826,0,0,0,0,0,0,0,0,0,672,0,0,-2.4280673446862693,-6.56652890955084,0.8782182817942612,7,23
