Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,x_position,y_position,z_position,unit_distance_from_origin,unit_id
11135,0,1598,1584,9875,3740,0,1802,0,0,19440,0,0,0,0,3102,0,0,0,3080,0,0,0,0,0,9483,5063,5152,0,0,0,2698,0,5925,0,1581,0,0,4150,2112,0,0,0,0,-3.465615348484003,9.009094660288879,0.31477677147019834,9,39
11445,0,1008,0,4730,4233,0,40,0,0,18928,0,0,0,0,14014,0,0,0,12901,0,0,0,0,0,12288,4514,1768,0,0,0,2860,0,8228,0,1968,0,0,4018,2394,0,0,0,0,-3.601473996722663,9.331751446360247,0.31478822167984793,10,39
1,0,1431,39,6363,3675,0,630,0,0,13140,0,0,0,0,12006,0,0,0,5332,0,0,0,0,0,10120,882,0,0,12870,0,1488,0,0,0,0,0,0,3888,2088,0,0,0,84,-4.421276953220069,10.07364237837616,0.3147859274706332,11,39
20155,0,1664,638,0,3792,0,840,0,0,2312,0,0,0,0,9204,0,0,0,0,0,0,0,0,0,5120,660,2320,0,3392,0,1634,0,0,0,0,0,0,3525,1325,0,0,0,2346,-5.2392745805214,10.804364713734572,0.3147829612706758,12,39
15717,0,231,690,19460,3525,0,700,0,0,4284,0,0,0,6432,4402,0,0,0,2464,0,0,0,0,0,1224,2295,2430,0,10140,0,630,0,0,0,0,0,0,0,1326,0,0,0,4788,-6.0410868050969375,11.523717402963186,0.3147859512990153,13,39
0,0,30,675,30267,3542,0,702,0,0,8268,0,0,0,42884,6045,0,0,0,3968,0,0,0,0,0,5848,222,2021,0,8687,0,1813,0,0,0,0,0,0,735,1170,0,0,0,3900,-6.819555859798105,12.228638077497788,0.3147932699527003,14,39
0,0,900,0,18209,986,0,90,0,0,2552,0,0,0,31768,4368,0,0,0,1950,0,0,0,0,0,7182,1748,1056,0,2769,0,840,0,0,0,0,0,0,1406,630,0,0,0,2961,-7.485882629451325,13.006890755083425,0.3147876064031505,15,39
0,0,1204,504,47263,0,0,0,0,0,1457,0,0,0,29760,0,0,0,0,2193,0,0,0,0,0,703,0,0,0,0,0,756,0,0,0,0,0,0,3182,841,0,0,0,0,-7.7736161694999835,13.991783737605939,0.31476440791877724,16,39
0,0,420,728,3960,25410,12,0,0,0,10,0,0,0,0,0,0,0,5546,0,0,0,1364,4018,0,0,0,2318,7500,0,0,0,0,0,1980,1904,0,0,480,0,0,0,19980,16159,3.2766231903576184,15.993850757861448,0.3147881875846034,16,36
0,0,324,1092,6314,13568,437,0,0,0,5320,0,0,0,0,0,0,0,6324,0,0,0,1632,4200,0,0,2535,980,13298,0,0,1792,0,0,3212,1904,0,0,1650,0,0,0,22400,11960,2.2258509736373964,15.841694093019417,0.31478538246766885,15,36
