Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,Camera_0044,Camera_0045,Camera_0046,Camera_0047,x_position,y_position,z_position,unit_distance_from_origin,unit_id
32218,0,0,555000,31624,31842,0,0,62700,106560,0,0,0,0,92868,257690,34200,29205,27048,0,0,29192,26720,0,0,0,26235,0,0,29028,25748,0,0,30927,28380,0,0,29177,26720,0,0,29714,25748,0,0,28864,0,0,4.141341,-1.678615,1.075566,4,18
0,77688,0,0,212774,43400,0,0,0,0,200700,70467,0,58695,0,44928,0,0,28718,0,0,0,43392,0,0,0,36652,0,0,0,38979,0,0,0,47322,0,24570,0,45526,0,0,0,32640,0,0,0,32200,0,-7.253449,-2.840933,1.075566,7,26
1480,0,0,1708,0,4950,0,0,0,0,27,2430,0,4588,0,1085,0,0,0,0,1512,0,0,0,5336,0,0,0,4675,0,0,0,0,0,5586,0,4345,0,3192,0,0,0,0,0,0,0,3312,0,-6.901121,3.58574,0.314791,7,39
9975,0,0,2184,0,3536,0,0,0,0,988,1512,0,7276,0,5022,2812,0,3835,0,1280,0,3712,0,5133,0,4030,0,2820,0,3900,0,161,0,3944,0,4389,0,3894,0,0,0,4422,0,0,0,3300,0,-6.694233,4.385689,0.314785,8,39
13542,0,0,1880,0,4602,0,0,0,0,0,1406,0,0,0,2704,12753,0,4958,0,3969,0,4818,0,5704,0,5250,0,5251,0,5032,0,0,0,5082,0,203,0,1586,0,0,0,5475,0,0,0,3960,0,-6.75439,5.957004,0.314787,9,39
18318,0,0,1682,0,5940,2760,0,0,0,0,1728,0,0,0,0,17010,0,6384,0,3969,6552,6142,0,6305,0,6715,0,5673,0,6391,0,3822,0,6586,0,3828,6528,6536,0,4620,0,6970,0,0,0,4524,0,-6.809869,7.332503,0.314786,10,39
27348,0,0,0,0,11869,21279,0,0,0,1295,1632,0,0,0,0,27940,0,10773,0,2014,12726,10640,0,4692,0,11152,0,3900,2120,11097,0,2132,696,12963,0,1591,12573,12325,0,324,0,11869,0,17484,2184,3538,0,-7.062583,8.434149,0.314762,11,39
7268,0,0,0,0,4118,0,0,0,0,629,1598,0,4650,0,4864,6084,0,3575,0,0,0,3575,0,532,0,3696,0,0,0,3630,0,3690,0,4161,0,2295,0,3976,0,0,0,4047,0,0,0,0,0,-6.155223,3.314809,0.314786,6,39
5254,0,0,0,3445,2604,0,0,0,0,4500,1887,0,7992,0,5628,4830,0,1938,0,0,0,2601,0,0,0,2091,0,0,0,2700,0,9,0,2646,0,4888,0,2392,0,0,0,3016,0,0,0,3300,0,-5.478275,2.429429,0.31479,5,39
2784,0,0,1856,0,2793,0,0,0,0,561,2145,0,8732,0,6497,3358,0,1118,0,0,1000,1364,0,0,0,1560,0,0,0,1305,0,0,0,2544,0,0,975,2112,0,0,0,2025,0,0,0,3225,0,-4.775289,1.47094,0.314786,4,39
