Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,x_position,y_position,z_position,unit_distance_from_origin,unit_id
952,0,0,33672,0,0,0,0,0,1.378644,-9.809798,0.314789,9,183
0,0,0,27405,0,0,0,0,0,1.405462,-9.903781,0.314763,10,183
506,0,0,34545,0,0,0,0,0,1.307173,-8.890049,0.314785,8,183
0,1302,0,22010,0,0,0,0,0,0.918163,-7.936293,0.314785,7,183
0,0,0,0,0,0,0,0,8370,0.517693,-6.971857,0.314783,6,183
0,2021,0,0,0,0,0,0,12870,0.110017,-5.985198,0.314786,5,183
1140,0,0,0,0,0,0,0,8925,-0.463004,-4.970788,0.314801,4,183
1312,0,0,0,0,0,0,0,5250,-1.015153,-3.859724,0.314783,3,183
1540,0,0,0,0,0,0,9044,3648,-1.719038,-2.457942,0.317545,2,183
2080,5820,0,0,0,0,0,6440,4176,-1.881094,-0.639796,0.314787,1,183
0,6060,0,0,0,0,0,5985,4980,-0.749308,-0.655526,0.314782,0,183
0,0,0,0,0,17680,0,0,2546,5.518178,10.414068,0.314788,11,82
0,0,0,0,0,24180,0,0,1394,5.753892,10.532655,0.314789,12,82
0,0,702,0,0,15946,0,0,2109,5.422115,11.819482,0.314785,13,82
0,0,0,0,0,8536,0,0,0,3.563271,13.540717,0.314784,14,82
0,0,0,0,0,0,0,0,1218,0.462928,10.988899,0.314784,10,82
0,0,0,0,0,7254,0,0,0,2.189448,14.841082,0.314759,15,82
10191,0,0,0,0,0,0,2475,1548,-0.562769,9.974132,0.314784,9,82
8700,0,0,0,0,0,0,6534,0,-0.708818,8.962897,0.314807,8,82
7314,0,0,0,0,0,0,6732,0,-0.816034,7.952793,0.314784,7,82
5251,0,0,0,0,0,0,7035,0,-0.943369,6.931154,0.314783,6,82
0,16375,0,0,0,0,0,0,0,-1.351269,5.845459,0.314759,5,82
0,0,1302,0,0,4130,40922,0,0,-2.221605,15.845097,0.31476,16,82
0,3600,0,16000,0,0,0,0,12726,2.06554,-4.910241,0.314788,5,145
0,1845,0,0,0,0,0,0,16215,2.29461,-5.552186,0.314788,6,145
1302,2173,0,14577,0,0,0,0,17172,1.741215,-6.789666,0.314782,7,145
1470,1628,0,0,0,0,0,0,0,0.937012,-7.951784,0.314782,8,145
0,0,0,45310,910,0,0,0,0,0.210455,-9.001182,0.314784,9,145
0,0,0,8424,0,0,0,0,0,6.766781,-7.36307,0.31479,10,145
0,0,0,10332,0,0,0,0,0,6.798257,-8.648354,0.316797,11,145
0,0,0,6798,0,0,0,0,0,4.470473,-2.235538,0.314759,4,145
4130,0,0,0,0,0,0,27872,8820,2.673856,2.513571,0.128892,3,95
4788,0,0,0,0,0,0,18546,4895,2.993738,2.653782,0.128903,4,95
4800,0,0,0,0,0,0,40280,2346,3.104998,3.920967,0.129573,5,95
5577,0,0,0,0,0,0,12402,3772,3.206595,5.071461,0.128892,6,95
8178,0,0,0,0,0,0,0,4180,3.306954,6.172011,0.128891,7,95
7790,0,35,0,0,0,0,0,3834,3.122075,7.366994,0.128902,8,95
5550,33174,0,0,0,0,0,14400,0,-1.240257,2.729724,0.128903,2,95
17608,0,0,0,0,0,0,8888,1978,-2.015199,8.774416,0.128892,9,95
11084,0,2280,0,0,0,0,8316,2530,-1.295371,9.926715,0.128892,10,95
25456,0,0,0,0,0,0,1216,0,-0.662328,10.984035,0.128897,11,95
12285,0,0,0,0,0,22331,0,2222,-0.385067,11.996271,0.128903,12,95
48872,0,1496,0,0,0,40866,4176,0,-2.898826,12.673154,0.128903,13,95
