Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,0,0,0,0,812,0,1824,0,0,13932,10192,17980,0,0,782,0,0,9964,473,0,0,0,0,0,2175,0,0,0,0,0,11954,0,0,0,3888,0,5467,0,0,-7.4656082170238545,-6.146349995843378,0.31477730015969546,9,8
0,1050,0,1224,0,864,0,0,0,0,19781,10480,16686,0,0,0,0,0,36330,1768,0,0,0,0,0,0,0,0,0,0,0,11025,0,0,0,3564,0,2397,0,0,-7.001737959810539,-5.645777363127707,0.3147847482077451,8,8
0,1292,0,4692,0,0,0,0,0,0,13888,9625,3024,0,0,0,0,0,24596,1440,0,0,0,0,0,0,0,0,0,0,0,6969,0,0,0,192,0,0,0,0,-6.546995688789711,-4.589788023942846,0.31478663367909554,7,8
0,0,0,0,0,0,0,0,0,0,9568,8880,12460,0,0,0,0,0,16592,1692,0,0,0,0,0,0,0,0,0,0,0,22464,0,0,0,2499,0,0,0,0,-6.057220904809295,-3.488983841572904,0.3147834976970777,6,8
0,1140,0,0,0,0,0,0,0,0,7031,1323,4200,0,0,0,0,0,10989,1127,0,0,0,0,0,0,0,0,0,0,0,30240,0,0,0,3900,0,0,0,0,-5.534602292788517,-2.3068903502320603,0.314782321823191,5,8
5162,1886,0,3542,0,725,0,0,0,0,3712,2950,7410,0,0,0,0,0,4758,1400,0,0,0,0,0,0,0,0,0,14996,0,54549,0,0,0,5256,0,0,0,0,-4.913602032057593,-0.904939079485378,0.3147832682731856,4,8
0,5335,0,1880,2842,128,0,0,0,0,2700,0,0,0,0,0,0,0,6018,6314,26313,0,0,0,0,0,0,0,0,7505,0,0,5880,920,0,1620,0,0,0,0,-3.060673978934404,2.5746985833341762,0.31478510056869236,3,8
0,0,0,2100,1188,1792,0,0,0,0,5005,0,0,0,0,0,0,0,196,5704,0,0,0,0,0,0,0,0,0,6588,0,0,4400,9266,0,0,0,0,0,0,-2.4358418697551816,1.7369265794259068,0.31478207774396383,2,8
0,0,0,2484,0,2100,672,0,0,0,4914,0,0,0,0,0,0,0,6100,11926,0,0,0,0,0,0,0,0,0,13952,0,0,10246,1612,0,4118,0,0,0,0,-1.7866611126894583,0.8783435188238856,0.3147862286249177,1,8
0,0,0,3000,1804,924,8591,0,0,0,4860,0,0,0,6077,0,0,0,5490,8814,0,0,0,0,0,0,0,0,0,11592,0,0,14472,0,0,3276,0,0,0,0,-0.9703030412752868,-0.21436184666639696,0.3148029450963248,0,8
