Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,x_position,y_position,z_position,unit_distance_from_origin,unit_id
4956,2204,3818,6080,740,0,0,0,0,0,0,0,-0.131134,-12.862814,0.314785,12,684
4840,3384,3876,5900,5355,0,0,0,0,0,0,0,0.6771,-12.996304,0.314788,13,684
5162,3220,3400,6283,4503,0,0,0,0,0,0,0,0.367123,-14.000083,0.314783,14,684
5428,3128,2745,6360,3888,0,0,0,0,0,0,0,0.044009,-15.008453,0.314783,15,684
5700,3015,2451,5814,3432,0,0,0,0,0,0,0,-0.236536,-16.002867,0.314785,16,684
6363,2948,2080,128,2989,0,0,0,0,0,0,0,-0.561364,-17.000202,0.314784,17,684
7303,2881,1824,0,2622,0,0,0,0,0,0,0,-0.883414,-17.988575,0.31479,18,684
7275,2924,5610,7276,6624,0,0,0,0,0,0,0,-0.592698,-11.972261,0.314799,11,684
6499,3096,6365,6592,8190,0,0,5985,0,0,0,0,-0.103045,-10.994484,0.318174,10,684
6552,3456,10656,7546,5720,16092,0,4032,0,0,0,0,-0.022693,-9.989547,0.314787,9,684
7722,3240,11970,8239,7227,19782,0,0,0,2635,0,0,-0.514643,-8.981795,0.314783,8,684
12314,2596,1978,0,2580,0,0,0,0,0,0,0,-1.862323,-18.917234,0.314784,19,684
0,644,0,10950,10275,12155,0,5050,17250,0,0,0,-4.704164,-7.495496,0.314777,8,452
0,1456,0,7791,798,14416,0,9728,15759,0,0,0,-4.207769,-7.966408,0.314787,9,452
0,2106,0,21624,9348,5,0,0,15600,0,0,0,-4.92838,-8.712311,0.314784,10,452
0,1938,0,26019,2117,0,7632,0,0,1815,0,0,-5.725739,-9.398408,0.316762,11,452
0,312,0,0,510,0,1652,0,0,5016,0,0,-7.990969,-8.9541,0.314785,12,452
0,1435,0,17655,3358,11528,0,1804,9191,168,0,0,-4.914291,-6.309086,0.314807,7,452
0,2508,0,16632,0,6887,0,7680,9288,1485,0,0,-3.939705,-5.777764,0.314785,6,452
0,2622,0,14973,0,5440,0,8816,6862,2173,1850,0,-3.55506,-4.828583,0.31727,5,452
0,72,0,0,5130,0,3652,0,0,5162,0,0,-8.238151,-10.071903,0.314786,13,452
0,0,0,0,4346,0,3913,0,0,6666,0,0,-8.361414,-11.234169,0.314788,14,452
0,0,0,0,5621,0,4,0,0,13800,0,0,-8.512628,-12.359581,0.314802,15,452
0,0,0,0,3712,0,0,0,0,17199,0,0,-8.52741,-13.547007,0.314783,16,452
0,0,0,0,3481,0,4048,0,0,24708,0,0,-8.904092,-14.49459,0.314783,17,452
0,0,0,0,3136,0,5605,0,0,0,0,0,-9.282027,-15.438622,0.314789,18,452
40068,6882,28231,23868,5850,48618,0,0,0,4900,0,0,-1.773227,-9.133778,0.13238,9,353
10458,0,0,198,0,0,0,5400,0,0,45292,12870,7.126056,-7.824059,0.908414,10,617
11622,7220,34572,702,0,0,0,6068,0,0,34056,25192,6.485405,-8.920095,0.900073,11,617
8316,25519,34965,126,0,0,0,9280,0,0,14036,24347,7.007883,-9.766858,0.895497,12,617
5917,0,18848,0,0,0,0,5928,0,0,36,17666,8.031225,-10.223948,0.901135,13,617
16568,0,0,264,0,0,0,7308,0,0,46843,19080,6.523608,-7.567762,0.880049,9,617
25110,35525,2052,6290,0,0,0,12702,0,0,40748,58028,3.374323,-8.34107,0.885221,8,617
35721,25955,0,18574,0,39420,0,14784,0,0,36480,0,1.085983,-7.895655,0.89513,7,617
22294,15276,0,28710,0,35658,0,13286,0,9177,17363,60853,0.754783,-6.957315,0.902981,6,617
2052,9384,0,26670,0,30245,0,5244,0,2656,14534,72670,1.114038,-5.888288,0.894178,5,617
0,0,0,37665,0,19656,0,7560,29321,1078,17820,70975,1.172119,-4.845772,0.887196,4,617
0,0,0,13923,0,19339,0,5655,29601,3300,20114,76436,0.606835,-3.918844,0.900004,3,617
0,0,0,0,0,16500,0,10800,19295,6080,17510,35350,-0.054092,-2.996896,0.904467,2,617
0,0,0,0,0,14630,0,30600,0,8200,9558,0,-3.049428,-0.778812,0.915125,3,352
0,0,0,0,0,18095,0,27888,17834,9720,3312,0,-3.244546,-2.378496,0.920006,4,352
0,4081,0,1406,0,21760,0,37335,28314,11904,4067,0,-3.369837,-3.70479,0.902163,5,352
0,126,0,0,0,16030,0,15255,22260,0,1320,0,-5.732825,-1.8727,0.915628,6,352
0,154,0,0,0,23520,0,0,460,12,0,0,-6.8545,-1.498492,0.91682,7,352
0,500,0,0,0,660,0,0,25123,6591,0,0,-7.959557,-1.123519,0.917335,8,352
0,16,0,0,0,15164,0,0,35700,11040,0,0,-8.798234,-1.929175,0.907301,9,352
0,0,0,0,0,13664,0,48050,9075,5700,15810,0,-2.643879,-1.41591,0.906073,2,352
0,0,0,0,0,17538,0,33184,22236,3306,15038,1184,-0.365641,-1.935164,0.909514,1,352
0,0,0,0,0,14904,0,22440,7869,992,12672,3604,0.007768,-0.954147,0.921263,0,352
26970,19604,21726,32718,18480,42,0,22032,0,0,207,0,0.748257,-9.990325,0.903932,10,352
10854,19360,7614,1184,10920,0,0,0,0,0,0,0,3.970083,-17.589638,0.829129,18,685
10812,19224,7191,1056,9765,0,0,0,0,0,0,0,3.969616,-17.53913,0.81999,17,685
7584,11664,7452,3700,10744,0,0,0,0,0,0,0,3.649127,-16.59994,0.832739,16,685
8528,11025,7755,5040,12859,0,0,0,0,0,0,0,3.478855,-15.616385,0.830106,15,685
9610,14448,10488,6068,459,0,0,12480,0,0,0,0,4.013424,-14.420291,0.830292,14,685
8211,14310,11310,4214,0,0,0,8820,0,0,0,0,4.060865,-13.354499,0.826148,13,685
9920,20691,14250,5610,0,0,0,10787,0,0,0,0,4.176252,-12.283015,0.831291,12,685
11218,28282,16520,4410,0,0,0,10956,0,0,0,0,4.447958,-11.101671,0.824365,11,685
12920,31845,18471,2728,0,0,0,5814,0,0,20930,32860,4.812463,-9.852439,0.823373,10,685
23986,19397,15958,26106,21168,0,0,13000,0,0,0,0,0.620643,-9.976951,0.809224,9,685
18200,16160,13673,12220,3344,41184,0,5734,0,2752,3618,0,0.237987,-8.965888,0.839148,8,685
30046,19680,0,14679,0,32132,0,5661,0,10626,31668,0,0.348881,-7.976136,0.834646,7,685
3159,12561,23290,0,0,0,0,9291,0,0,0,0,7.498966,-14.396798,0.945172,16,618
6431,16290,24174,0,0,0,0,8007,0,0,0,0,7.62308,-14.067038,0.92255,15,618
3696,0,28560,0,0,0,0,7850,0,0,0,22135,8.157798,-12.552344,0.943116,14,618
3478,32274,24453,0,0,0,0,10816,0,0,0,18063,6.682602,-12.297155,0.93942,13,618
3640,10486,19800,0,0,0,0,8321,0,0,0,0,7.77317,-15.164092,0.937822,17,618
5978,4720,17052,0,0,0,0,12231,0,0,0,0,7.994713,-16.143605,0.925616,18,618
5764,35670,14196,0,0,0,0,8321,0,0,0,0,7.140455,-17.619767,0.93776,19,618
9960,39565,26850,504,0,0,0,11088,0,0,0,29916,6.144874,-11.426882,0.932858,12,618
14337,54817,23868,3375,0,0,0,10880,0,0,8736,42712,5.776304,-10.514005,0.927971,11,618
12104,1764,19096,1575,0,0,0,9396,0,0,35332,32330,6.793698,-8.644534,0.925752,10,618
11340,0,0,1015,0,0,0,6384,0,0,40300,14691,6.764471,-7.352131,0.941475,9,618
0,0,0,0,8007,0,17250,0,0,0,0,0,-8.930517,-18.071715,0.808785,20,183
