MIN_LOC_X,MIN_LOC_Y,MIN_DIST_ORIGIN,MAX_LOC_X,MAX_LOC_Y,MAX_DIST_ORIGIN,MEAN_LOC_X,MEAN_LOC_Y,MEAN_DIST_ORIGIN,STD_LOC_X,STD_LOC_Y,STD_DIST_ORIGIN,MEDIAN_LOC_X,MEDIAN_LOC_Y,MEDIAN_DIST_ORIGIN,RANGE_LOC_X,RANGE_LOC_Y,RANGE_DIST_ORIGIN,TOTAL_DIST_TRAVELED_X,TOTAL_DIST_TRAVELED_Y,TOTAL_DIST_TRAVELED_EUCLIDEAN,TOTAL_DIRECTION_CHANGES,TIME_SPENT_WALKING_SEC,TIME_SPENT_STANDING_SEC,RATIO_OF_CAMERA_CAPTURES,UNIT_ID,UNIT_TYPE,WAREHOUSE
2.589343,10.8,11.10606578,2.589343,10.8,11.10606578,2.589343,10.8,11.10606578,0,0,0,2.589343,10.8,11.10606578,0,0,0,0,0,0,1,0,300,0.254901961,38,Forklift,Warehouse_000
0.403434,1.953708,1.994927052,4.470219,16.896002,17.00058679,2.122815059,8.974150765,9.412077912,1.23672494,4.711635512,4.492606469,1.798564,8.491904,9.002142175,4.066785,14.942294,15.00565974,9.818135,19.670459,22.74664671,17,0,300,0.333333333,21,NovaCarter,Warehouse_000
-23.616542,-12.032302,8.997928337,-8.882629,6.790397,26.50504381,-16.53266542,-5.193859842,17.96755713,4.549979174,5.600642598,5.43521893,-16.564638,-7.014194,17.98850048,14.733913,18.822699,17.50711547,15.680801,29.539287,37.90080895,19,0,300,0.549019608,2,NovaCarter,Warehouse_000
-8.381772,-22.281877,3.992113369,3.239325,-3.767822,22.51611132,-4.6047828,-11.8539038,13.46979313,3.454931834,6.372221172,5.729353326,-6.1271195,-11.1048785,13.49725646,11.621097,18.514055,18.52399795,18.683594,20.388223,29.91765572,20,0,300,0.62745098,8,NovaCarter,Warehouse_000
-18.601417,-22.248504,10.9903681,-1.780295,-6.951101,29.00014905,-12.1690275,-14.9418954,19.67169986,5.068019467,4.536155772,5.534548196,-12.968188,-15.5685365,19.50360799,16.821122,15.297403,18.00978095,35.990602,41.306932,57.44640153,20,0,300,0.62745098,0,NovaCarter,Warehouse_000
-23.511425,-1.978102,9.993152118,-9.453533,7.742462,23.94481158,-16.31092927,3.190763733,16.99151037,4.873226275,2.710685677,4.314175849,-16.778632,3.288357,16.98925572,14.057892,9.720564,13.95165946,14.057892,20.736788,26.11304068,15,0,300,0.431372549,41,Transporter,Warehouse_000
-25.224881,-6.948549,26.16442154,-25.224881,-6.948549,26.16442154,-25.224881,-6.948549,26.16442154,0,0,0,-25.224881,-6.948549,26.16442154,0,0,0,0,0,0,1,0,300,0.254901961,52,Forklift,Warehouse_000
3.01397,28.885052,29.04187054,3.01397,28.885052,29.04187054,3.01397,28.885052,29.04187054,0,0,0,3.01397,28.885052,29.04187054,0,0,0,0,0,0,1,0,300,0.215686275,61,Forklift,Warehouse_000
-11.736587,4.155211,4.989539578,0.713385,27.352425,29.0053567,-4.491932654,16.39176112,17.34357333,3.790546771,7.151386136,7.319721573,-4.027662,17.020263,17.47731655,12.449972,23.197214,24.01581712,34.036858,58.841855,74.3378105,1,17.3,282.7,0.470588235,16,Person,Warehouse_000
-20.498217,-22.310744,3.990780739,4.59978,25.641777,30.00520107,-11.75115511,-5.3764945,16.66456972,7.384099276,10.86469887,7.864798749,-15.1362735,-3.9347565,16.56471758,25.097997,47.952521,26.01442033,36.35966,71.781521,94.85347136,1,19.53333333,280.4666667,0.784313725,48,Person,Warehouse_000
-21.295834,-11.111637,2.996555335,-2.444118,0.804395,24.02042928,-12.724332,-4.677300435,13.70339693,5.967396504,2.831536883,6.295244142,-13.945477,-4.224554,13.98693767,18.851716,11.916032,21.02387394,31.655153,31.399155,47.25124302,1,17.36666667,282.6333333,0.607843137,10,Person,Warehouse_000
-14.544398,-8.519194,0.971859258,0.668089,28.009413,28.01275462,-6.846007862,6.985798172,14.54122666,3.748239999,12.84985325,7.961781131,-7.243355,-0.971838,14.96333677,15.212487,36.528607,27.04089537,32.182408,78.323014,90.72563359,1,18.73333333,281.2666667,0.764705882,42,Person,Warehouse_000
