Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,Camera_0044,Camera_0045,Camera_0046,Camera_0047,Camera_0048,Camera_0049,Camera_0050,x_position,y_position,z_position,unit_distance_from_origin,unit_id
432,12987,0,80,16184,0,0,0,0,0,0,0,0,0,7921,0,0,0,0,0,0,437372,0,10815,0,0,16206,0,0,589050,0,761275,0,0,0,0,0,0,0,0,0,0,0,0,12932,0,0,0,43014,0,91188,2.589343,10.8,1.075566,11,38
0,621,0,0,330,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,190,0,0,20140,0,14787,0,0,0,0,1924,0,0,0,0,0,0,0,814,0,0,0,2268,0,4154,4.46518,6.589205,0.314776,7,21
0,697,0,0,648,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,360,0,0,19398,0,12231,0,0,0,0,2622,0,0,0,0,0,0,0,836,0,0,0,2772,0,4725,4.470219,6.635539,0.31477,8,21
0,546,0,0,527,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,6900,0,0,0,0,1386,0,0,16100,0,12905,0,0,0,0,1848,0,0,0,0,0,0,0,360,0,0,0,1632,0,0,3.945249,5.767003,0.314785,6,21
0,567,0,0,1088,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,6039,0,0,0,0,1575,0,0,10500,0,11039,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,1887,0,0,3.261345,5.027698,0.316707,5,21
286,588,0,0,825,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,5307,0,0,0,0,1764,0,0,9438,0,9516,0,0,0,0,2303,0,0,0,0,0,0,0,190,0,0,0,2255,0,0,2.564801,4.286428,0.314789,4,21
1560,616,0,0,1258,0,0,0,0,0,0,3630,0,0,315,0,0,504,0,0,0,4332,0,0,0,0,1976,0,0,7950,0,8362,0,0,0,0,2650,0,0,0,0,0,0,0,729,0,0,0,2419,0,0,1.871718,3.532365,0.314782,3,21
1560,529,0,0,1404,0,0,0,0,0,0,7788,0,0,304,0,0,0,0,0,0,3570,0,0,0,0,2240,0,0,6624,0,7350,0,0,0,0,3135,0,0,0,0,0,0,0,812,0,0,0,3185,0,0,1.161865,2.76495,0.316603,2,21
1612,690,0,0,925,0,0,0,0,0,0,7524,0,0,368,0,0,0,0,0,0,2548,0,0,0,0,2562,13899,0,5568,0,6534,0,0,0,0,2623,0,0,0,0,0,0,0,8,0,0,0,3905,0,0,0.403434,1.953708,0.314782,1,21
0,594,0,0,1175,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6408,0,1450,0,0,171,0,0,15158,0,10557,0,0,0,0,120,0,0,0,0,0,0,0,460,0,0,0,2747,0,8140,2.987663,8.491904,0.314785,9,21
936,726,1085,0,153,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,13552,0,98,0,0,437,0,0,12296,0,33948,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,1457,0,5696,1.110911,9.941663,0.314785,10,21
682,10,1443,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,481,0,3087,0.854208,10.972941,0.314785,11,21
638,0,1326,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2610,1.047168,11.968961,0.314785,12,21
352,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,1.233714,12.955012,0.314786,13,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1.422092,13.9408,0.314782,14,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786,1.60689,14.922654,0.314782,15,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,1.798564,15.91373,0.314785,16,21
0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091,1.882835,16.896002,0.314759,17,21
783,10873,0,0,0,98,0,0,0,748,7276,0,0,0,0,0,0,9,145,870,0,0,812,0,320,588,0,552,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,4400,0,6237,0,0,0,-23.616542,-12.032302,0.314792,26,2
987,10092,2,0,0,96,0,0,0,135,7150,0,0,189,0,0,0,437,2919,1073,0,0,930,0,759,1014,0,55,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,3540,0,8330,0,0,0,-23.137164,-11.844905,0.314786,25,2
800,8320,40,0,0,0,0,0,0,132,7475,0,8750,33,0,0,0,112,18955,1020,0,0,992,0,496,882,0,2,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,4352,0,0,0,2832,0,-22.321778,-11.238992,0.314785,24,2
1196,5920,0,0,0,0,0,0,0,828,7854,0,8556,300,0,0,4070,0,27200,1312,0,0,1056,0,840,1161,0,500,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,5168,0,0,0,4636,0,-21.508415,-10.638208,0.314789,23,2
1150,5934,0,0,0,1050,0,0,0,680,5346,0,8073,800,0,0,3726,0,22692,432,792,0,594,0,900,1260,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6068,0,0,0,5200,0,-20.681553,-10.038556,0.314788,22,2
1125,5022,0,0,0,1023,0,0,0,912,0,0,7370,420,0,0,5130,0,17825,1410,3608,0,1330,0,900,1334,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7371,0,0,0,5796,0,-19.868342,-9.440017,0.314787,21,2
1100,4697,0,0,0,1056,0,0,0,936,0,0,7035,962,3364,0,4823,0,16536,1271,3520,0,1332,0,832,1440,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9180,0,0,0,6497,0,-19.039296,-8.833045,0.314784,20,2
1032,4118,0,0,0,1254,0,0,0,936,0,0,6760,988,4816,0,4524,0,14406,775,3311,0,1677,0,676,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11817,0,0,0,7410,0,-18.214491,-8.226071,0.314785,19,2
1100,3630,0,0,5376,1666,0,0,0,960,0,0,6720,729,4004,0,4316,0,12788,0,2365,0,1330,0,1080,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15504,0,0,0,8568,0,-17.396119,-7.623645,0.314787,18,2
1100,2852,0,0,6138,867,0,0,0,294,0,0,0,782,3430,0,4182,0,10092,0,2982,0,2150,0,945,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21190,0,0,0,8820,0,-16.564638,-7.014194,0.314788,17,2
900,2773,0,0,2968,1914,0,0,0,0,0,0,144,152,2709,0,4697,0,7979,0,2891,0,3096,0,330,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7370,0,0,0,14848,0,-16.164598,-5.256563,0.314786,16,2
589,588,0,0,1410,0,0,3416,0,1365,0,1380,0,2646,1107,0,0,0,696,0,6273,0,0,0,1922,0,16992,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16324,0,0,0,0,0,0,0,-15.562154,3.712377,0.314722,15,2
608,1053,0,0,1015,0,0,124,0,1833,0,1000,0,3082,1125,0,0,0,1848,0,156,0,0,6177,0,0,5432,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.172751,4.90585,0.31472,14,2
640,336,0,0,912,0,0,2703,0,2418,0,1550,0,3710,651,0,0,0,1260,0,0,0,0,4524,0,0,5994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.241321,6.790397,0.314718,13,2
1026,2318,0,0,638,1848,0,0,0,95,0,2622,0,870,2040,0,3848,0,0,0,2816,0,3213,0,154,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,-12.714765,-2.681012,0.314785,12,2
1053,1924,0,0,2924,2990,0,0,0,1323,0,1680,0,1015,1782,0,3450,1530,0,0,1786,0,836,0,1530,0,0,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.695418,-2.635252,0.314784,11,2
1107,2124,0,0,3036,1728,0,0,0,1148,0,0,0,1519,1728,0,3120,1550,0,0,2080,0,960,0,0,0,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.68335,-2.595691,0.314785,10,2
1189,2088,0,0,2967,0,0,0,0,0,0,3432,0,870,1395,0,2790,1470,0,0,2145,0,5330,0,44,0,0,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.655319,-2.557675,0.314786,9,2
936,1656,0,0,1302,0,0,0,0,0,0,3807,0,0,1131,0,136,910,0,0,2772,0,0,0,84,0,0,3536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.882629,-1.435833,0.314783,8,2
0,0,0,51,0,0,0,0,945,156,0,0,420,0,0,61893,0,0,0,0,340,475,0,0,0,0,0,0,2646,660,4125,320,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,3.239325,-22.281877,0.314776,22,8
0,0,0,168,0,0,0,0,870,368,0,0,144,0,0,45220,400,0,0,0,396,640,0,0,0,0,0,0,2530,714,30,770,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,2.485672,-21.855292,0.314785,21,8
0,0,0,0,0,0,0,0,992,384,0,0,552,0,0,28016,483,0,0,0,361,608,0,0,0,2592,0,0,3584,289,4836,814,0,0,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491602,-20.992997,0.314786,20,8
0,0,0,0,0,0,0,0,1221,240,0,0,4,0,0,17930,621,0,0,4250,567,330,0,0,0,658,0,0,5561,735,9434,360,0,0,0,0,0,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.011251,-19.897065,0.316825,19,8
6860,0,0,0,0,7192,0,0,0,0,0,0,924,0,1480,0,360,280,0,3266,598,567,0,0,0,6968,0,1350,22538,720,57456,0,0,0,0,0,0,2640,0,0,0,0,0,0,13410,0,0,0,0,1435,0,-5.705691,-18.116865,0.314784,18,8
5355,0,345,0,0,6527,0,0,0,0,0,0,1140,0,2346,0,572,380,0,3431,408,594,0,0,0,6076,0,899,26035,90,9018,0,0,0,0,0,0,3355,0,0,0,0,0,0,11645,0,0,0,0,1634,0,-6.026252,-16.959517,0.314786,17,8
4275,0,255,0,0,5940,0,0,0,260,0,0,1271,0,1936,0,315,400,0,3087,400,170,0,0,210,5580,0,1504,32526,800,0,0,0,0,0,0,0,4020,0,0,0,0,0,0,9875,0,0,0,0,1880,0,-6.363729,-15.752104,0.314783,16,8
345,0,0,0,0,4186,0,0,0,247,0,0,1408,0,3225,0,24,462,0,1360,78,460,5940,0,168,4731,0,1584,0,91,0,0,0,0,0,0,0,5175,0,0,0,0,0,0,8584,0,0,0,0,2244,0,-6.705172,-14.518567,0.314783,15,8
132,0,0,0,0,1152,0,0,0,420,0,0,1155,0,2911,0,1170,506,0,4150,0,528,6060,0,0,4158,0,1700,0,0,0,0,0,0,0,0,0,7052,0,0,0,0,0,0,4815,0,0,0,0,162,0,-7.057818,-13.227419,0.314785,14,8
1122,0,0,0,11461,0,0,0,0,198,0,0,1800,0,2613,0,1184,156,0,4472,980,0,6161,0,0,2967,0,1785,0,1160,0,0,0,0,0,0,0,9898,0,0,0,0,0,0,4352,0,0,0,0,1891,0,-7.441666,-11.852553,0.314784,13,8
270,0,0,0,11328,2145,520,0,0,84,0,0,2184,0,2394,0,30,600,0,5005,570,0,6324,0,45,245,0,1908,0,1188,0,0,0,0,0,0,0,16002,0,0,0,0,0,0,4320,0,0,0,0,2277,0,-7.85585,-10.357204,0.314783,12,8
0,264,0,0,3724,1924,2418,0,0,888,0,0,2680,0,0,0,1140,380,0,6048,1380,0,4785,0,468,0,0,1326,0,0,0,0,0,0,0,0,0,17556,0,0,0,0,0,0,2242,0,0,0,0,9840,0,-8.381772,-8.582223,0.314792,11,8
0,1620,0,0,5313,4743,3420,0,0,960,0,0,2272,0,0,0,1995,945,0,5394,1470,0,6460,0,1050,0,0,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,-7.890598,-7.653125,0.314787,10,8
0,56,0,0,4158,5488,0,0,0,575,0,0,2214,0,0,0,2030,952,0,7980,1550,0,7980,0,520,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2652,0,0,0,0,0,0,-7.329134,-6.784294,0.314785,9,8
385,1804,0,0,78,5546,0,0,0,575,0,6161,3116,0,0,0,2160,899,0,0,1550,0,10304,0,45,0,0,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,0,0,0,0,0,0,-6.782323,-5.899787,0.314782,8,8
1224,1599,0,0,3080,3180,0,0,0,323,0,7788,2142,0,900,0,2232,1020,0,0,1581,0,13390,0,400,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,-6.227987,-5.01311,0.314784,7,8
1470,1482,0,0,2650,0,0,0,0,555,0,7040,0,0,784,0,2340,200,0,0,1664,0,18172,0,486,0,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,0,0,0,9129,0,0,-5.656979,-4.100704,0.314786,6,8
1456,0,735,0,4028,0,0,0,0,70,0,11592,0,0,6,0,1881,0,0,0,725,1610,18400,0,525,0,0,4446,0,2394,0,0,0,0,0,0,16125,0,0,0,0,0,0,0,1911,0,0,0,13695,0,0,-3.236724,-5.037788,0.314785,5,8
2030,0,63,0,3200,0,0,0,0,105,0,11954,0,624,525,0,0,0,0,0,506,1715,30076,0,0,0,0,5394,0,2580,0,0,0,0,0,0,11342,0,0,0,0,0,0,0,1369,0,0,0,28143,0,0,-2.320034,-4.427763,0.314785,4,8
2006,0,0,0,0,0,0,0,0,0,0,12126,0,105,575,0,0,0,0,0,1104,1924,14525,0,0,0,0,1595,0,2728,0,3552,0,0,0,0,7740,0,0,0,0,0,0,0,1400,0,0,0,16884,0,0,-1.319275,-3.767822,0.314783,3,8
