Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,x_position,y_position,z_position,unit_distance_from_origin,unit_id
26520,0,0,11322,0,0,0,316334,0,0,2.589343,10.8,1.075566,11,281
0,0,0,0,936,0,0,0,6720,567,-18.011159,26.40346,0.314779,31,40
0,0,0,330,1260,0,0,0,6930,525,-18.004587,26.456678,0.314769,32,40
0,0,0,253,1110,0,0,0,9632,616,-17.583439,25.530681,0.314813,30,40
0,0,0,0,0,0,0,0,14700,0,-14.93013,26.016224,0.31482,29,40
0,0,0,0,2356,0,0,0,0,0,-14.358623,25.18515,0.314787,28,40
0,0,0,0,5220,0,0,0,0,0,-8.207934,26.763396,0.314786,27,40
0,0,0,0,5244,0,0,0,0,0,-8.251649,25.708052,0.314796,26,40
0,0,0,0,4256,0,0,0,0,0,-8.306384,24.636311,0.314783,25,40
0,0,0,0,4116,0,0,0,0,0,-8.354691,23.560619,0.314786,24,40
0,0,0,0,3920,0,0,0,0,0,-8.605236,22.403069,0.314799,23,40
0,0,0,1050,0,0,0,0,0,0,-7.721567,5.093635,0.314777,9,365
0,0,0,520,0,0,0,0,0,0,-7.565285,4.870096,0.314761,8,365
0,0,0,858,0,0,0,0,0,0,-6.022316,5.264516,0.314786,7,365
1152,0,0,1107,0,0,0,0,0,0,-5.47864,4.339247,0.314802,6,365
1271,0,0,880,0,0,0,0,0,0,-4.919332,3.411448,0.314787,5,365
1170,0,0,858,0,0,0,0,0,0,-4.344835,2.448418,0.314784,4,365
1232,0,0,1215,0,0,0,0,0,0,-3.662175,1.606834,0.31479,3,365
903,0,0,1242,0,0,0,0,0,0,-2.788748,1.066959,0.314782,2,365
936,0,0,1316,0,0,0,0,0,0,-1.919974,0.519995,0.316726,1,365
861,0,0,1029,0,0,0,0,0,0,-0.985742,-0.058412,0.314785,0,365
459,0,0,5664,0,0,0,0,0,0,-16.611847,-10.420697,0.314791,19,366
361,0,0,0,0,0,0,0,0,0,-15.625451,-10.806062,0.314762,18,366
0,0,0,5727,0,0,0,0,0,0,-15.792518,-12.272997,0.314788,20,366
0,0,0,7912,0,0,0,0,0,0,-15.904777,-13.720056,0.314787,21,366
0,0,0,11934,0,0,0,0,0,0,-16.010237,-15.088889,0.314787,22,366
0,0,0,7290,0,0,0,0,0,0,-16.238497,-16.306683,0.314792,23,366
0,7134,0,0,0,0,0,0,0,0,-16.667158,-17.429676,0.314788,24,366
0,10374,0,0,0,0,0,0,0,0,-17.021209,-18.312269,0.314785,25,366
0,9500,0,0,0,0,6732,0,0,0,-17.416357,-19.316551,0.314803,26,366
0,9150,0,0,0,0,5684,0,0,0,-18.036143,-20.094204,0.314785,27,366
253,9424,0,0,0,0,5264,0,0,0,-18.913702,-20.653166,0.314787,28,366
0,9954,0,0,0,0,4950,0,0,0,-19.785807,-21.212347,0.314787,29,366
112,10692,0,0,0,0,4611,0,0,0,-20.660741,-21.75981,0.314785,30,366
0,11844,0,0,0,0,4284,0,0,0,-21.528424,-22.319775,0.314811,31,366
550,0,10428,0,0,0,0,0,0,0,-6.282425,-15.585021,0.1289,16,395
408,0,10780,0,0,0,0,0,0,0,-5.999469,-14.831125,0.128898,15,395
396,0,10808,0,0,0,0,0,0,0,-6.075276,-13.707116,0.128893,14,395
299,0,10944,0,0,0,0,0,0,0,-6.141131,-12.569729,0.128893,13,395
390,0,10830,0,0,0,0,0,0,0,-6.206274,-11.407689,0.128893,12,395
611,0,11736,0,0,0,0,0,0,0,-5.923292,-10.433239,0.128898,11,395
714,0,9112,0,0,0,0,0,0,0,-5.212716,-9.671777,0.128893,10,395
945,0,7314,0,0,0,0,0,0,0,-4.499449,-8.915123,0.128892,9,395
1008,0,4553,0,0,0,0,0,0,0,-3.789009,-8.161204,0.128892,8,395
1072,0,7592,0,0,0,0,0,0,0,-3.067333,-7.379429,0.128892,7,395
1120,0,5406,0,0,650,0,0,0,0,-2.292683,-6.610718,0.128898,6,395
1224,0,5123,0,0,6160,0,0,0,0,-1.486381,-5.805722,0.128892,5,395
1134,0,4752,0,0,9030,0,0,0,0,-0.627945,-4.955103,0.128893,4,395
1005,0,1800,0,0,7503,0,0,0,0,0.358721,-3.983761,0.128892,3,395
0,0,0,851,0,4576,0,0,0,0,1.086519,-2.788209,0.129179,2,395
0,0,0,2025,0,3465,0,0,0,0,1.791267,-0.886993,0.128892,1,395
1080,0,0,1536,0,0,0,0,0,0,-0.240901,-0.969235,0.128892,0,395
0,0,0,0,0,0,0,24428,0,3905,3.01397,28.885052,1.413329,29,205
3924,0,0,4680,0,0,0,0,0,0,-2.239005,-0.383732,0.90174,2,341
4028,0,0,6608,0,0,0,0,0,0,-1.81132,-0.778029,0.889178,1,341
0,0,0,0,0,12489,0,0,0,0,0.841668,-2.910325,0.895404,3,341
812,0,6040,0,0,11832,0,0,0,0,2.077706,-3.454619,0.885355,4,341
816,0,8642,0,0,14337,0,0,0,0,2.1192,-4.575205,0.88702,5,341
0,0,8195,0,0,13986,0,0,0,0,2.100178,-5.663704,0.894408,6,341
0,0,7752,0,0,13651,0,0,0,0,2.047695,-6.706404,0.888168,7,341
0,0,12470,0,0,7844,0,0,0,0,2.249331,-7.679085,0.87445,8,341
1640,0,9720,0,0,21330,0,0,0,0,0.333986,-9.004957,0.891527,9,341
1804,0,12240,0,0,23584,0,0,0,0,-1.554468,-9.909684,0.89726,10,341
0,0,0,4140,0,3024,0,0,0,0,0.87153,-0.390136,0.892101,0,341
0,0,0,4633,0,0,0,0,0,0,-10.625899,2.861307,0.884935,11,341
3159,0,0,3815,0,0,0,0,0,24638,-11.380836,3.873184,0.882529,12,341
0,0,0,4368,0,0,0,0,0,22542,-12.005506,5.092718,0.884446,13,341
2716,0,0,2054,0,0,0,0,0,13260,-12.894099,5.57718,0.890044,14,341
0,0,0,4876,0,0,0,0,0,12980,-13.8475,5.840111,0.883079,15,341
0,0,0,3420,0,0,0,0,0,12670,-13.82018,8.074384,0.894845,16,341
2597,0,0,2548,0,0,0,0,0,8533,-13.106086,10.84425,0.895129,17,341
0,0,0,1824,0,0,0,0,0,9350,-16.143912,8.073597,0.894338,18,341
0,0,0,4356,0,0,0,0,0,9000,-16.815273,8.84676,0.877313,19,341
0,0,0,3008,0,0,0,0,0,6669,-17.179228,10.282618,0.892015,20,341
0,0,0,2848,0,0,0,0,0,7293,-16.887732,12.510144,0.893817,21,341
0,0,0,4664,0,0,0,0,0,15168,-20.563903,7.92506,0.877425,22,341
0,0,0,3675,0,0,0,0,0,11408,-21.456868,8.290773,0.889187,23,341
0,0,0,4095,0,0,0,0,0,12194,-22.261183,8.972967,0.891855,24,341
0,0,0,4080,0,0,0,0,0,9971,-23.030256,9.786334,0.896489,25,341
0,0,0,3200,0,0,0,0,0,8692,-23.754504,10.608012,0.888958,26,341
0,0,0,31827,0,0,0,0,0,0,-16.196487,-13.53962,0.901739,21,364
0,0,0,30576,0,0,0,0,0,0,-15.704468,-13.924873,0.887509,20,364
1620,23387,0,0,0,0,0,0,0,0,-13.25933,-17.55762,0.871341,22,364
1050,20405,0,0,0,0,0,0,0,0,-14.036479,-18.245339,0.894552,23,364
774,23318,0,0,0,0,0,0,0,0,-14.696584,-19.030905,0.887614,24,364
660,34181,0,0,0,0,26904,0,0,0,-15.399366,-19.732504,0.88131,25,364
408,18957,0,0,0,0,9512,0,0,0,-16.217434,-20.33548,0.892571,26,364
0,0,0,26384,0,0,0,0,0,0,-15.53619,-12.567889,0.89681,19,364
0,0,0,21156,0,0,0,0,0,0,-15.134302,-11.460956,0.867771,18,364
0,0,0,19572,0,0,0,0,0,0,-14.601028,-10.414175,0.891153,17,364
1512,0,0,15480,0,0,0,0,0,0,-14.060792,-9.505077,0.888376,16,364
1452,0,0,14210,0,0,0,0,0,0,-13.517191,-8.514655,0.893749,15,364
2400,0,0,11718,0,0,0,0,0,0,-12.8694,-7.679162,0.887345,14,364
1554,0,0,8510,0,0,0,0,0,0,-11.479543,-7.957348,0.894267,13,364
