Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,x_position,y_position,z_position,unit_distance_from_origin,unit_id
21744,0,270900,8832,0,0,0,0,31862,37774,0,29565,2.589343,10.8,1.075566,11,82
0,0,0,0,0,0,0,11040,0,0,0,0,-17.012454,29.156701,0.314778,33,184
0,0,0,0,0,0,0,15984,0,0,0,0,-16.721369,28.443814,0.314806,32,184
0,0,0,0,0,0,0,16275,0,0,0,0,-16.561121,27.378929,0.314784,31,184
0,0,0,0,0,1025,0,25728,0,0,0,0,-16.82033,26.037507,0.314787,30,184
0,0,0,0,0,1116,0,18368,0,0,0,0,-17.145986,24.604314,0.314785,29,184
418,0,0,0,0,0,0,0,0,0,0,1961,-12.869787,25.984221,0.314785,28,184
460,0,0,0,0,0,0,0,0,0,0,2052,-12.424048,25.085132,0.314786,27,184
480,0,0,299,0,0,0,0,0,0,0,660,-11.98189,24.193056,0.314786,26,184
513,0,0,0,0,0,0,0,0,0,0,2106,-11.740997,23.194562,0.314761,25,184
684,0,0,610,0,3198,0,0,0,0,0,0,-18.507212,22.198684,0.128899,28,83
308,0,0,0,0,1829,0,9222,0,0,0,0,-18.256548,22.53267,0.128894,29,83
312,0,0,400,0,1508,0,24240,0,0,0,0,-18.493353,23.636292,0.128894,30,83
455,0,0,408,0,2500,0,42418,0,0,0,0,-18.648265,24.768213,0.1289,31,83
624,0,0,0,0,2088,0,36036,0,0,0,0,-19.347684,25.50194,0.12893,32,83
0,0,0,0,0,0,0,23326,0,0,0,0,-20.093201,26.17844,0.128912,33,83
0,0,0,430,0,0,0,10640,0,0,0,0,-23.275928,24.795214,0.128895,34,83
0,0,0,405,0,0,0,9434,0,0,0,0,-23.823826,25.649944,0.128895,35,83
0,0,0,0,0,0,0,9945,0,0,0,0,-24.368478,26.51206,0.128895,36,83
135,0,0,0,0,0,0,9072,0,0,0,0,-24.914315,27.368077,0.128896,37,83
624,0,0,441,0,3059,0,0,0,0,0,0,-18.498682,21.013462,0.128905,27,83
6552,0,0,1854,0,0,0,0,0,0,0,0,-8.767276,-0.466895,0.1289,8,255
13224,0,0,2448,0,0,0,0,0,0,0,0,-8.375487,-3.310197,0.1289,9,255
29526,0,2478,2520,0,0,0,0,0,0,0,0,-8.524024,-5.229087,0.128904,10,255
8588,0,2929,1738,0,0,0,0,0,0,0,0,-7.7294,-2.042279,0.128896,7,255
8322,0,0,0,0,0,0,0,0,0,0,0,-11.005106,0.094679,0.128893,11,255
9460,0,0,1617,0,0,0,0,0,0,0,0,-11.988505,-0.537759,0.129335,12,255
8052,0,0,2112,0,0,0,0,0,0,0,0,-12.969552,-1.077779,0.128893,13,255
11956,0,0,2150,0,0,0,0,0,0,0,0,-13.918276,-1.618366,0.128894,14,255
13500,0,0,2304,0,0,0,0,0,0,0,0,-14.848766,-2.162258,0.128894,15,255
11592,0,0,2976,0,0,0,0,0,0,0,0,-15.805267,-2.503545,0.128904,16,255
0,0,0,2783,0,0,0,0,0,0,0,0,-16.94027,-1.444697,0.128895,17,255
6006,0,0,2714,0,0,0,0,0,0,0,0,-18.006106,-0.340922,0.128894,18,255
4720,0,0,2484,0,0,0,0,0,0,0,0,-18.995153,0.533874,0.128905,19,255
3552,0,0,2058,0,0,0,0,0,0,0,0,-19.844068,2.493164,0.128895,20,255
2940,0,0,1890,0,0,0,0,0,0,0,0,-20.57059,4.256072,0.128902,21,255
0,0,0,1974,0,0,0,0,0,0,0,0,-21.618749,4.102037,0.128895,22,255
0,0,0,1800,0,17143,0,0,0,0,0,0,-22.3128,5.586563,0.128894,23,255
0,0,0,1200,0,27720,0,0,0,0,0,0,-22.97269,6.952589,0.12918,24,255
1537,0,0,828,0,20020,0,0,0,0,0,0,-23.334905,8.983814,0.128896,25,255
1675,0,0,570,0,11457,0,0,0,0,0,0,-23.411515,11.319535,0.128895,26,255
0,0,11470,1036,0,0,0,0,17464,4788,0,0,0.900022,1.884162,0.90174,2,28
0,0,12738,3069,0,0,0,0,17459,4248,0,0,1.270089,2.723754,0.876047,3,28
0,0,14697,3026,0,0,0,0,14673,2480,0,0,1.533933,3.728579,0.896405,4,28
0,0,17680,3382,0,0,0,0,12352,1260,0,0,1.847909,4.651064,0.886401,5,28
3150,0,19680,2635,0,0,0,0,10850,4343,0,0,2.060816,5.676919,0.895386,6,28
5400,0,18216,2856,0,0,0,0,9126,3696,0,0,2.433172,6.578605,0.883331,7,28
0,0,7791,0,0,0,0,0,53298,5244,0,0,0.01166,-1.987943,0.880709,1,28
0,0,7905,3959,0,0,0,0,31827,4095,0,0,-0.422316,-0.893761,0.888652,0,28
0,0,3136,0,0,0,0,0,0,0,0,0,-1.334551,-7.926171,0.882621,8,28
0,664,4440,0,0,0,0,0,0,0,0,0,-2.140651,-8.759369,0.892924,9,28
0,8640,4134,0,0,0,0,0,0,0,0,0,-2.899193,-9.579776,0.869315,10,28
0,2808,3360,0,0,0,0,0,0,0,0,0,-3.67461,-10.405171,0.900012,11,28
0,0,2448,0,0,0,0,0,0,0,0,0,-4.48855,-11.163474,0.881486,12,28
0,9520,3104,0,34720,0,0,0,0,0,0,0,-2.58743,-12.744129,0.876255,13,28
0,7332,2187,0,23320,0,0,0,0,0,0,0,-3.210952,-13.629314,0.883349,14,28
0,5891,2821,0,19173,0,0,0,0,0,0,0,-2.938953,-14.721835,0.891472,15,28
0,6336,2610,0,22473,0,0,0,0,0,0,0,-2.722916,-15.791903,0.892747,16,28
0,4752,2666,0,11990,0,0,0,0,0,0,0,-2.495936,-16.879454,0.894448,17,28
0,5166,2241,0,18656,0,0,0,0,0,0,0,-2.435256,-17.850876,0.882864,18,28
0,8448,0,0,69760,0,0,0,0,0,0,0,-10.013241,-16.159999,0.892027,19,28
0,10725,1748,0,59976,0,0,0,0,0,0,0,-10.44216,-17.106393,0.893833,20,28
0,19206,1196,0,89856,0,0,0,0,0,0,0,-10.904253,-17.977363,0.885849,21,28
0,10400,1860,0,0,0,0,0,0,0,0,0,-11.404096,-18.819091,0.893832,22,28
0,20328,1888,0,0,0,0,0,0,0,0,0,-14.134533,-18.15834,0.878381,23,28
1092,0,0,1121,0,3498,0,23700,0,0,0,0,-20.732815,26.177249,0.901739,33,95
1350,0,0,0,0,4130,0,42418,0,0,0,0,-19.907418,26.295395,0.884834,32,95
0,0,0,715,0,0,0,70520,0,0,0,0,-15.432202,27.990324,0.892061,31,95
2044,0,0,0,0,0,0,51815,0,0,0,0,-14.586259,27.345646,0.888959,30,95
1776,0,0,0,0,0,0,8514,0,0,0,0,-13.742029,26.608108,0.894398,29,95
0,0,0,1386,0,0,0,0,0,0,0,7050,-13.00272,25.896353,0.88907,28,95
0,0,0,297,0,0,0,0,0,0,0,4674,-10.651809,25.890078,0.891208,27,95
0,0,0,0,0,0,0,0,4982,0,0,0,-9.268492,25.346844,0.873536,26,95
1863,0,0,273,0,0,0,0,4171,0,0,2470,-8.676241,24.459532,0.877883,25,95
2160,0,0,0,0,0,0,0,4120,0,0,2596,-8.956217,23.302351,0.893145,24,95
2132,0,0,300,0,0,0,0,4428,0,0,2100,-9.034642,22.224077,0.882724,23,95
2160,0,0,0,0,0,0,0,4324,0,0,1155,-8.76953,21.255302,0.878568,22,95
2349,0,0,0,0,0,0,0,4356,0,0,0,-8.390353,20.299932,0.887589,21,95
2436,0,0,609,0,0,0,0,5700,0,0,0,-8.00076,19.353901,0.892994,20,95
2548,0,0,1166,0,0,0,0,5640,0,0,0,-7.512775,18.512864,0.888955,19,95
2883,0,0,1197,0,0,0,0,5043,0,0,6834,-6.940971,17.62035,0.898672,18,95
3298,0,0,1584,0,0,0,0,6604,0,0,4590,-7.110959,16.476235,0.88536,17,95
3200,0,0,1480,0,0,0,0,7102,0,0,3876,-7.081397,15.441083,0.880846,16,95
3708,0,0,832,0,0,0,0,7506,0,0,13790,-6.930774,14.393392,0.895144,15,95
3700,0,0,1200,0,0,0,0,8436,0,0,14552,-7.026034,13.209495,0.895135,14,95
