Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,0,0,0,1769,13974,0,0,0,0,0,-3.678516,10.664047,0.314789,11,245
0,0,0,0,1591,10458,0,812,0,0,0,-3.457054,10.442109,0.314763,10,245
1184,0,0,0,0,9960,0,0,0,0,5056,-3.367666,11.518327,0.314787,12,245
1505,0,2064,0,0,9393,5858,0,0,0,0,-5.024602,8.644845,0.314784,9,245
1786,0,2208,0,0,8715,4648,0,7488,0,0,-5.240883,7.308125,0.314785,8,245
0,0,2891,0,0,5964,0,0,10452,0,0,-5.26242,6.024592,0.314787,7,245
1656,0,3498,0,0,0,6720,0,10472,0,0,-4.580029,5.292231,0.314794,6,245
0,0,4161,0,0,4818,5785,0,2279,0,0,-3.874886,4.571677,0.314787,5,245
1600,0,0,0,0,2880,4402,0,0,0,0,-3.180747,3.856967,0.314784,4,245
2714,0,0,0,2806,3248,3944,0,0,0,1608,-2.468212,3.129086,0.314783,3,245
0,0,4779,0,0,0,2438,0,0,0,1575,-1.858917,2.344776,0.314784,2,245
1862,0,1020,0,0,0,0,0,12879,0,3626,-7.345344,10.728625,0.314783,13,245
1702,0,0,0,0,0,0,0,4323,0,0,-7.558828,11.795101,0.314786,14,245
540,0,806,0,0,0,0,0,0,0,2508,-7.76678,12.839506,0.314784,15,245
0,0,725,0,0,0,0,0,0,0,0,-7.97498,13.880477,0.314783,16,245
66,0,0,0,0,0,0,0,0,0,0,-7.794862,15.126482,0.314762,17,245
7473,2639,0,6762,12168,0,0,28310,0,0,0,4.91845,-4.176942,0.134295,6,330
2960,0,0,620,2507,672,0,30130,0,0,0,5.173781,-4.723821,0.128891,7,330
0,1827,0,0,0,1242,0,40035,0,0,0,5.021976,-6.236772,0.128891,8,330
0,1674,0,0,0,0,0,64119,0,0,0,4.870914,-7.581234,0.128891,9,330
0,1080,0,0,0,0,0,131516,0,1600,0,4.754329,-8.803592,0.128892,10,330
6681,60,0,0,0,0,0,15810,0,1820,0,3.367589,-4.95635,0.128892,5,330
7320,0,0,1230,22035,0,0,14756,0,0,0,3.460186,-3.600617,0.128893,4,330
3959,4200,0,11220,4416,3840,0,0,0,7904,8804,1.907931,3.515457,0.128892,3,330
4662,0,0,13720,6862,4572,0,0,0,4704,0,1.878774,2.326364,0.128898,2,330
6165,0,0,20088,10890,3828,0,0,0,4200,0,1.835767,0.784356,0.128892,1,330
0,0,0,0,0,1860,0,0,0,0,0,-0.385667,-10.282311,0.128892,10,246
0,0,0,0,0,0,0,0,0,0,644,-0.047533,-9.991364,0.128892,9,246
0,0,0,0,0,0,1325,0,0,0,975,0.02898,-8.985243,0.128892,8,246
0,0,0,0,0,1007,1586,0,0,0,0,0.108797,-7.986288,0.128892,7,246
13485,0,0,0,0,2133,1876,0,0,1326,2210,0.188647,-6.988444,0.128892,6,246
25000,0,0,0,0,2268,0,0,0,1645,1780,0.268528,-5.990597,0.128892,5,246
21960,0,0,0,0,2296,2145,8058,0,0,0,-2.096392,-4.531727,0.128892,4,246
16192,0,30228,0,0,3564,0,0,0,0,2100,-2.07457,-3.41447,0.128892,3,246
7800,0,0,15600,17500,1235,0,0,0,2914,3315,2.287066,-1.939083,0.128892,2,246
0,0,0,40392,19572,2784,0,4921,0,6320,6370,1.983001,-0.250634,0.128902,1,246
5830,0,4958,0,0,14342,24375,0,40698,0,9231,-7.234285,11.623718,0.900877,13,30
7776,0,0,0,0,25283,16120,0,32520,0,13122,-6.076967,11.488949,0.892274,12,30
5617,0,6912,0,1482,41888,17554,0,22344,0,15936,-4.13803,11.262435,0.883263,11,30
5160,0,8208,0,0,25740,30885,0,0,0,20540,-2.168254,10.755051,0.883994,10,30
5612,0,8802,0,4300,20504,53911,0,0,0,19436,-2.345494,9.685612,0.884703,9,30
6192,0,9116,0,4446,19575,47371,0,0,0,11780,-2.277455,8.615869,0.891293,8,30
7236,0,11392,0,5200,20303,46284,5576,0,0,0,-2.307567,7.656815,0.882212,7,30
8480,0,12797,0,6477,16348,29355,0,0,0,14746,-2.634623,6.480242,0.896889,6,30
1650,0,2392,0,0,31753,0,0,0,0,30268,-1.751702,13.901903,0.896707,14,30
0,0,0,0,0,0,0,2604,0,0,0,-1.297541,14.964183,0.893625,15,30
2968,0,0,0,1254,0,0,3052,0,0,0,0.265553,16.005919,0.888894,16,30
2380,0,0,0,0,0,0,0,0,0,0,1.290737,16.981629,0.897301,17,30
0,0,0,17762,10944,6992,0,0,0,9231,0,4.560336,3.868764,0.892082,5,30
9617,0,10726,0,0,17266,38610,0,56502,0,4717,-4.197426,7.571166,0.900877,8,5
8949,0,11424,0,0,30602,30380,0,59566,0,11388,-4.58853,7.753723,0.869782,9,5
3700,0,8372,0,0,36624,34100,0,37960,0,5593,-5.535407,8.356091,0.895983,10,5
10902,0,8109,0,0,49400,51976,0,57462,0,0,-6.297412,9.027254,0.869734,11,5
10075,0,6864,0,0,41492,39798,2516,51660,0,0,-6.838072,9.869049,0.89021,12,5
7399,0,6120,0,0,31313,30058,0,39820,0,9964,-7.307957,10.808023,0.889191,13,5
